parameter_name,Mean cell hemoglobin concentration
gene_accession_id,MGI:2385156
mouse_life_stage,Early adult
pvalue,0.9062991
gene_symbol,Sdcbp2
parameter_id,IMPC_HEM_007_001
analysis_id,0n6443o81bts960
mouse_strain,C57BL
