analysis_id,4040yyh987xwa4y
mouse_strain,C57BL
gene_accession_id,MGI:2444554
parameter_name,Follicular B cells - % of CD45+
pvalue,0.7278682
mouse_life_stage,E12.5
gene_symbol,Mapkap1
parameter_id,MGP_IMM_112_001
