analysis_id,f21gl57w6pgr4q1
mouse_life_stage,Early adult
parameter_name,Calcium
parameter_id,IMPC_CBC_009_001
mouse_strain,C57BL
gene_symbol,Abo
gene_accession_id,MGI:2135738
pvalue,0.6307623
