mouse_life_stage,Late adult
gene_accession_id,MGI:97613
parameter_id,MGP_IMM_070_001
parameter_name,Total ab T cells - % of CD45+
mouse_strain,C57BL
analysis_id,nz12339cwa2mai5
gene_symbol,Plcb1
pvalue,0.4910085
