gene_symbol,Dcaf12
pvalue,0.5974759
parameter_id,M-G-P_014_001_009
analysis_id,6b337r0q932oob3
parameter_name,lens
gene_accession_id,MGI:1916220
mouse_life_stage,Early adult
mouse_strain,C57BL
