gene_symbol,Golm2
parameter_name,Center average speed
analysis_id,02d5t255ik7mp34
pvalue,0.4248656
mouse_life_stage,Early adult
gene_accession_id,MGI:2443129
parameter_id,HRWLLA_OFD_017_001
mouse_strain,C57BL
