parameter_name,Retina (combined)
mouse_strain,129SV
gene_symbol,Cds2
parameter_id,IMPC_EYE_092_002
analysis_id,m5n0tuu32d1vr49
pvalue,0.1352658
mouse_life_stage,Early adult
gene_accession_id,MGI:1332236
