gene_symbol,Morn5
mouse_strain,C57BL
parameter_id,IMPC_IMM_064_001
parameter_name,B1B Cells
analysis_id,44ws9t1829d86p4
mouse_life_stage,Early adult
gene_accession_id,MGI:1922745
pvalue,0.2664227
