gene_symbol,Gfi1b
parameter_id,IMPC_ECH_018_001
analysis_id,5ay2x21yl0003x3
parameter_name,Respiration Rate
gene_accession_id,MGI:1276578
pvalue,0.3818478
mouse_life_stage,Early adult
mouse_strain,C57BL
