parameter_name,Cornea
mouse_life_stage,Late adult
pvalue,0.7619518
gene_symbol,Lpgat1
analysis_id,9t65z7hc9v98190
parameter_id,IMPC_EYE_007_001
mouse_strain,C57BL
gene_accession_id,MGI:2446186
