analysis_id,25d62grzt7fr34k
mouse_life_stage,Early adult
parameter_name,Limb grasp
gene_accession_id,MGI:2442483
parameter_id,JAXLA_CSD_039_001
mouse_strain,C57BL
gene_symbol,Usp37
pvalue,0.8078727
