gene_symbol,Nr0b2
gene_accession_id,MGI:1346344
parameter_id,MGP_IMM_001_001
parameter_name,Total T cells - % of CD45+
analysis_id,y607863i6wiwxd9
mouse_strain,B6J
mouse_life_stage,Early adult
pvalue,0.1189702
