gene_symbol,Ssr2
parameter_id,MGP_IMM_112_001
analysis_id,6wus6sf68sx8xz1
gene_accession_id,MGI:1913506
mouse_strain,C57BL
parameter_name,Follicular B cells - % of CD45+
pvalue,0.7379742
mouse_life_stage,Early adult
