analysis_id,q58k6is22i8se9j
parameter_name,Mean-corpuscular-haemoglobin
mouse_strain,C57BL
parameter_id,M-G-P_016_001_006
pvalue,0.07174716
gene_symbol,Atf3
mouse_life_stage,Early adult
gene_accession_id,MGI:109384
