gene_symbol,Pld1
analysis_id,5978c4os7v1k6yz
mouse_strain,C57BL
gene_accession_id,MGI:109585
parameter_id,IMPC_DXA_009_001
pvalue,0.2149661
parameter_name,Fat/Body weight
mouse_life_stage,Early adult
