analysis_id,9z9t291061c6g1z
parameter_id,ESLIM_016_001_005
pvalue,0.1991289
parameter_name,Mean cell volume
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Rufy4
gene_accession_id,MGI:3588214
