parameter_id,IMPC_IMM_051_001
mouse_life_stage,Early adult
analysis_id,9gc5jh7rz06po30
gene_accession_id,MGI:2441730
mouse_strain,C57BL
gene_symbol,Tbl1xr1
pvalue,0.06111555
parameter_name,Monocytes
