parameter_name,Follicular B Cells (CD21/35+)
pvalue,0.3011898
analysis_id,0rpi6cf5feb2472
parameter_id,IMPC_IMM_067_001
gene_symbol,Golm2
mouse_life_stage,Early adult
gene_accession_id,MGI:2443129
mouse_strain,C57BL
