gene_symbol,Psmd14
parameter_id,IMPC_EYE_001_001
parameter_name,Eye
analysis_id,3830h99dpul48p4
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.8607956
gene_accession_id,MGI:1913284
