analysis_id,4g0q9jn499pw588
parameter_id,HMGULA_CBC_018_001
parameter_name,Glucose
gene_symbol,Secisbp2l
pvalue,0.2044219
mouse_strain,C57BL
gene_accession_id,MGI:1917604
mouse_life_stage,Early adult
