parameter_name,DN CD44+CD62L+ NKT cells
gene_accession_id,MGI:1922082
analysis_id,oen14279fp1l742
mouse_life_stage,Early adult
pvalue,0.7813668
mouse_strain,C57BL
parameter_id,IMPC_IMM_047_001
gene_symbol,Slc45a3
