gene_symbol,Ntmt2
parameter_name,Fat mass
mouse_strain,C57BL
gene_accession_id,MGI:2685053
analysis_id,05191ig8ti5r37q
pvalue,0.1747536
parameter_id,IMPC_DXA_002_001
mouse_life_stage,Early adult
