analysis_id,d9to44r135ba33f
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,HRWLLA_OFD_017_001
gene_accession_id,MGI:1927232
gene_symbol,Rab13
pvalue,0.9897564
parameter_name,Center average speed
