analysis_id,em340ne7yd4u222
pvalue,0.5455766
mouse_life_stage,Early adult
parameter_name,CV
gene_accession_id,MGI:1921802
gene_symbol,Nipal3
parameter_id,IMPC_ECG_003_001
mouse_strain,129SV
