gene_symbol,Bmi1
gene_accession_id,MGI:88174
parameter_name,Naive CD8+ T cells - % of CD8+
pvalue,0.2964407
mouse_life_stage,E12.5
mouse_strain,C57BL
parameter_id,MGP_MLN_015_001
analysis_id,6p0l4pnwo48a0cr
