parameter_name,Total food intake
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,0bq3s27bo7fa9x1
gene_symbol,Sgip1
gene_accession_id,MGI:1920344
pvalue,0.05302494
parameter_id,IMPC_CAL_008_001
