parameter_id,JAXLA_HBD_001_001
parameter_name,Total holepokes
analysis_id,zke1z26700bue39
mouse_life_stage,Early adult
gene_accession_id,MGI:1913506
mouse_strain,C57BL
gene_symbol,Ssr2
pvalue,0.7907109
