gene_symbol,Extl1
parameter_name,Platelet count
gene_accession_id,MGI:1888742
mouse_life_stage,Early adult
analysis_id,k4809a9s22lh4p6
mouse_strain,C57BL
pvalue,0.7047411
parameter_id,IMPC_HEM_008_001
