gene_symbol,Sdcbp2
analysis_id,ld850gsqke2y446
parameter_name,center - resting time
parameter_id,M-G-P_007_001_011
mouse_strain,C57BL
pvalue,0.4195709
mouse_life_stage,Early adult
gene_accession_id,MGI:2385156
