mouse_strain,129SV
gene_accession_id,MGI:1332236
analysis_id,nx3fz020w1zx0ci
gene_symbol,Cds2
parameter_name,18kHz-evoked ABR Threshold
pvalue,0.4453877
parameter_id,IMPC_ABR_008_001
mouse_life_stage,Early adult
