gene_symbol,Maco1
parameter_name,Ventral coat/hair presence
mouse_life_stage,Early adult
pvalue,0.6466588
analysis_id,vd645e524557sj4
gene_accession_id,MGI:1913396
mouse_strain,C57BL
parameter_id,MGP_CSD_025_001
