analysis_id,tjh5ktte2f84u77
parameter_id,IMPC_CSD_016_001
parameter_name,Coat - hair texture / appearance - abdomen
mouse_life_stage,Early adult
gene_symbol,Atf3
mouse_strain,C57BL
pvalue,0.1842021
gene_accession_id,MGI:109384
