analysis_id,r83z48646dmjn4n
gene_symbol,Inpp1
parameter_name,Coat - hair texture / appearance - abdomen
mouse_strain,129SV
mouse_life_stage,Early adult
gene_accession_id,MGI:104848
parameter_id,IMPC_CSD_016_001
pvalue,0.9816867
