gene_symbol,Slx4ip
analysis_id,35myfv9c4mdqhkn
mouse_life_stage,Early adult
gene_accession_id,MGI:1921493
mouse_strain,C57BL
parameter_id,IMPC_CBC_005_001
parameter_name,Creatinine
pvalue,0.6244167
