gene_symbol,Ufc1
parameter_id,ESLIM_011_001_006
analysis_id,q35lu586zujxok9
gene_accession_id,MGI:1913405
parameter_name,110dB startle magnitude
mouse_life_stage,Early adult
pvalue,0.87939
mouse_strain,C57BL
