analysis_id,qq78g2o0s045k05
gene_accession_id,MGI:2385156
pvalue,0.5362748
parameter_id,MGP_IMM_079_001
mouse_strain,C57BL
gene_symbol,Sdcbp2
parameter_name,KLRG1+ Treg cells - % of CD45+
mouse_life_stage,Early adult
