parameter_name,Hematocrit
parameter_id,IMPC_HEM_004_001
gene_accession_id,MGI:1914071
mouse_life_stage,E12.5
gene_symbol,Bcs1l
mouse_strain,C57BL
pvalue,0.3241892
analysis_id,3t2w621a369z430
