analysis_id,74v1513514t85u7
parameter_name,Conditioning Baseline % Freezing Time
mouse_life_stage,Early adult
parameter_id,IMPC_FEA_003_001
pvalue,0.7455542
gene_symbol,Cpa3
gene_accession_id,MGI:88479
mouse_strain,C57BL
