analysis_id,j7bgtw3r3j39y6d
pvalue,0.5249216
gene_symbol,Secisbp2l
gene_accession_id,MGI:1917604
parameter_name,Alpha beta T cell percentage
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_PBI_002_001
