mouse_life_stage,Middle aged adult
pvalue,0.6004465
gene_symbol,Secisbp2l
parameter_id,IMPC_OFD_011_001
gene_accession_id,MGI:1917604
analysis_id,r968yv5042eh5b6
mouse_strain,C57BL
parameter_name,Periphery resting time
