parameter_name,Glucose response AUC
pvalue,0.4077649
gene_symbol,Trim46
analysis_id,4sb4o3670a8szvj
mouse_strain,C57BL
parameter_id,ESLIM_004_001_701
mouse_life_stage,Early adult
gene_accession_id,MGI:2673000
