parameter_name,% Freezing duration pre-cue-2
gene_symbol,Hpca
parameter_id,ICS_FEA_019_001
pvalue,0.2682405
mouse_life_stage,Early adult
analysis_id,w7l9ed7zkjio1ds
gene_accession_id,MGI:1336200
mouse_strain,C57BL
