analysis_id,ve936ctg0b55o4u
gene_symbol,Maco1
mouse_strain,C57BL
pvalue,0.0502298
parameter_id,ESLIM_007_001_015
mouse_life_stage,Early adult
gene_accession_id,MGI:1913396
parameter_name,Number of centre entries
