analysis_id,027vmqiz10158s9
pvalue,0.687338
mouse_strain,C57BL
gene_symbol,Cntfr
parameter_name,Tibia length
parameter_id,TCPLA_XRY_033_001
gene_accession_id,MGI:99605
mouse_life_stage,Early adult
