analysis_id,8dq275954md4zsw
parameter_id,MGP_IMM_033_001
mouse_strain,C57BL
gene_accession_id,MGI:1924054
parameter_name,Total NK cells - % of CD45+
pvalue,0.3734788
gene_symbol,Kdm4c
mouse_life_stage,Early adult
