analysis_id,n389c788a232281
gene_symbol,Atg4c
parameter_name,Retina (combined)
gene_accession_id,MGI:2651854
parameter_id,JAXLA_EYE_092_001
pvalue,0.5172604
mouse_life_stage,Early adult
mouse_strain,C57BL
