parameter_name,Lens Opacity
mouse_strain,C57BL
gene_accession_id,MGI:1914050
gene_symbol,Trp53rkb
parameter_id,IMPC_EYE_017_001
pvalue,0.130081
mouse_life_stage,Early adult
analysis_id,p9fm9y50oovb9tm
