parameter_name,Haemoglobin
parameter_id,ESLIM_016_001_003
mouse_life_stage,Early adult
gene_symbol,Kdm5b
pvalue,0.1906067
mouse_strain,C57BL
gene_accession_id,MGI:1922855
analysis_id,38gmpia55839f8z
