gene_symbol,Secisbp2l
mouse_strain,C57BL
gene_accession_id,MGI:1917604
parameter_id,IMPC_ABR_006_001
analysis_id,69x414544omqb3l
pvalue,0.7470418
parameter_name,12kHz-evoked ABR Threshold
mouse_life_stage,Middle aged adult
