analysis_id,0w1o00hsjs9932g
pvalue,0.1950728
gene_accession_id,MGI:1914071
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_symbol,Bcs1l
parameter_id,MGP_CSD_015_001
parameter_name,Head coat/hair presence
