gene_symbol,Duoxa2
pvalue,0.3182884
gene_accession_id,MGI:1914061
mouse_life_stage,Early adult
parameter_id,M-G-P_014_001_001
analysis_id,z55zc60e70t9gtu
mouse_strain,C57BL
parameter_name,Eye
