parameter_name,Retina (combined)
gene_symbol,Bpifa3
gene_accession_id,MGI:1920638
analysis_id,1g85luisyk9k74g
parameter_id,JAXLA_EYE_092_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.8969951
