analysis_id,id26688m37mzanu
parameter_id,JAX_ROT_002_001
gene_accession_id,MGI:1345282
mouse_strain,C57BL
gene_symbol,Slc30a4
parameter_name,Average duration
pvalue,0.7371121
mouse_life_stage,Early adult
