parameter_id,HRWLLA_OFD_007_001
parameter_name,Whole arena resting time
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Ubxn11
pvalue,0.8485262
analysis_id,o58yw14np29dn41
gene_accession_id,MGI:1914836
