mouse_life_stage,Late adult
gene_accession_id,MGI:2441730
parameter_id,MGP_CSD_064_001
mouse_strain,C57BL
pvalue,0.2440638
parameter_name,Head morphology
gene_symbol,Tbl1xr1
analysis_id,96itk8g0n308x93
