parameter_name,Mean-corpuscular-haemoglobin
parameter_id,M-G-P_016_001_006
mouse_life_stage,Early adult
gene_accession_id,MGI:104848
gene_symbol,Inpp1
pvalue,0.9047472
analysis_id,155a71orr41l2g5
mouse_strain,129SV
