analysis_id,uds4wkyqe7w88ig
parameter_id,MGP_PBI_014_001
gene_accession_id,MGI:2385884
mouse_life_stage,Early adult
mouse_strain,C53BL
gene_symbol,Ddx27
parameter_name,B cell percentage
pvalue,0.7838526
