parameter_name,Caudal processes
analysis_id,499593q168eiy77
mouse_strain,C57BL
parameter_id,IMPC_XRY_067_001
gene_accession_id,MGI:1346088
mouse_life_stage,Early adult
pvalue,0.5267988
gene_symbol,Cd52
