analysis_id,h8hp340636vyf04
gene_symbol,Dnajc5b
parameter_name,Pale yolk sac
gene_accession_id,MGI:1913576
pvalue,0.9053066
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_017_002
mouse_strain,C57BL
