analysis_id,3u5035cowzb1s67
gene_accession_id,MGI:88174
mouse_life_stage,E15.5
Pvalue,0.7555785
parameter_name,% Freezing duration habituation-1
parameter_id,ICS_FEA_016_001
gene_symbol,Bmi1
mouse_strain,C57BL
