analysis_id,tx6oc6qp297fx46
mouse_strain,C57BL
parameter_name,Follicular B Cells (CD21/35+)
mouse_life_stage,E12.5
parameter_id,IMPC_IMM_067_001
gene_accession_id,MGI:1915087
gene_symbol,Tiprl
pvalue,0.05310765
