gene_symbol,Casq1
pvalue,0.9261297
parameter_id,MGP_IMM_033_001
analysis_id,0zhtj3lgs0c9rbk
mouse_life_stage,Early adult
gene_accession_id,MGI:1309468
mouse_strain,C57BL
parameter_name,Total NK cells - % of CD45+
