gene_symbol,Mroh9
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
gene_accession_id,MGI:1925508
parameter_id,MGP_IMM_007_001
analysis_id,13gscb9417lb725
pvalue,0.5976692
