analysis_id,71z013cok0n0058
pvalue,0.3999236
mouse_life_stage,Early adult
gene_symbol,Atf3
mouse_strain,C57BL
parameter_name,HRV
gene_accession_id,MGI:109384
parameter_id,IMPC_ECG_010_001
